Tarih,Parça No,Hat,Vardiya,Hata Tipi,Hata Adedi,Üretim Adedi,Iskarta Maliyeti (₺),Tespit Aşaması
01.01.2024,VAL-009,Hat-4,Vardiya-1,Deformasyon,19,665,14217.65,Müşteri İadesi
01.01.2024,VAL-014,Hat-4,Vardiya-3,Boyut Hatası,17,392,14050.54,Müşteri İadesi
01.02.2024,VAL-010,Hat-4,Vardiya-2,Kaynak Hatası,18,612,19801.87,Müşteri İadesi
01.05.2024,VAL-009,Hat-2,Vardiya-3,Renk Uyumsuzluğu,14,633,4712.3,Süreç İçi
01.05.2024,VAL-015,Hat-4,Vardiya-3,Deformasyon,3,217,2186.17,Müşteri İadesi
01.05.2024,VAL-003,Hat-1,Vardiya-1,Deformasyon,3,287,2248.94,Final Kontrol
02.03.2024,VAL-015,Hat-3,Vardiya-3,Boyut Hatası,16,492,12979.07,Final Kontrol
02.03.2024,VAL-019,Hat-1,Vardiya-3,Kaynak Hatası,9,540,8997.78,Final Kontrol
02.04.2024,VAL-017,Hat-1,Vardiya-2,Renk Uyumsuzluğu,51,719,17354.1,Gelen Kontrol
02.05.2024,VAL-003,Hat-1,Vardiya-1,Montaj Hatası,5,703,4975.48,Gelen Kontrol
02.06.2024,VAL-011,Hat-1,Vardiya-2,Boyut Hatası,7,537,6018.98,Müşteri İadesi
02.07.2024,VAL-008,Hat-3,Vardiya-2,Malzeme Hatası,9,605,11636.3,Final Kontrol
02.07.2024,VAL-017,Hat-3,Vardiya-1,Kaynak Hatası,27,479,31688.26,Müşteri İadesi
03.01.2024,VAL-003,Hat-2,Vardiya-3,Yüzey Çizigi,32,616,13588.31,Süreç İçi
03.03.2024,VAL-019,Hat-3,Vardiya-3,Malzeme Hatası,36,684,45278.3,Müşteri İadesi
03.04.2024,VAL-012,Hat-1,Vardiya-3,Yüzey Çizigi,7,455,2853.96,Müşteri İadesi
03.06.2024,VAL-018,Hat-1,Vardiya-1,Yüzey Çizigi,27,758,10705.96,Final Kontrol
03.06.2024,VAL-011,Hat-2,Vardiya-1,Yüzey Çizigi,33,470,13828.21,Gelen Kontrol
03.07.2024,VAL-018,Hat-1,Vardiya-1,Deformasyon,22,473,15421.03,Müşteri İadesi
03.07.2024,VAL-011,Hat-2,Vardiya-1,Boyut Hatası,49,748,43234.06,Süreç İçi
04.01.2024,VAL-016,Hat-3,Vardiya-2,Montaj Hatası,22,651,20198.98,Gelen Kontrol
04.04.2024,VAL-015,Hat-4,Vardiya-1,Deformasyon,25,488,19011.05,Müşteri İadesi
04.05.2024,VAL-012,Hat-2,Vardiya-3,Deformasyon,22,464,15983.18,Final Kontrol
04.05.2024,VAL-001,Hat-1,Vardiya-3,Kaynak Hatası,11,445,11642.02,Gelen Kontrol
04.06.2024,VAL-013,Hat-1,Vardiya-1,Renk Uyumsuzluğu,9,394,2535.77,Müşteri İadesi
05.02.2024,VAL-010,Hat-1,Vardiya-2,Deformasyon,45,683,36464.8,Müşteri İadesi
